,Name,URL,Zone,Difficulty,Rating,Reviews
21,Northover Ridge Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/northover-ridge?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,79
22,Piper Pass via Elbow Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/piper-pass-via-elbow-pass-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,5,52
23,Three Isle Lake,https://www.alltrails.com/explore/trail/canada/alberta/three-isle-lake?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,83
24,Elk Pass and Frozen Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/elk-pass-and-frozen-lake-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,104
25,Mount Rae Route,https://www.alltrails.com/explore/trail/canada/alberta/mount-rae-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,71
26,Gypsum Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/gypsum-ridge-mar-24-920-am?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,99
27,Rae Lake via Elbow Pass,https://www.alltrails.com/explore/trail/canada/alberta/rae-lake-via-elbow-pass?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,117
28,Canadian Mount Everest Expedition Trail,https://www.alltrails.com/explore/trail/canada/alberta/canadian-mt-everest-expedition-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,65
29,Marl Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/marl-lake-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4,106
30,Penstock Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/penstock-loop-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,67
31,Mount Tyrwhitt via Pocaterra Cirque,https://www.alltrails.com/explore/trail/canada/alberta/mount-tyrwhitt-via-pocaterra-cirque?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,59
32,Highwood Ridge & Grizzly Col,https://www.alltrails.com/explore/trail/canada/alberta/highwood-ridge-grizzly-col?ref=result-card,Peter Lougheed Provincial Park,hard,4,56
33,The Point,https://www.alltrails.com/explore/trail/canada/alberta/the-point?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,78
34,Turbine Canyon to Three Isle Lake Backpacking Loop,https://www.alltrails.com/explore/trail/canada/alberta/turbine-canyon-to-three-isle-lake-backpacking-loop?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,33
35,Forks Campground ,https://www.alltrails.com/explore/trail/canada/alberta/forks-campground?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,56
36,Lower Lake Kananaskis Interpretive Trail,https://www.alltrails.com/explore/trail/canada/alberta/lower-lake-kananaskis-interpretive-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,50
37,Mount Arethusa Loop,https://www.alltrails.com/explore/trail/canada/alberta/mount-arethusa-loop?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,19
38,Turbine Canyon and Maude Lake via Maude-Lawson Trail,https://www.alltrails.com/explore/trail/canada/alberta/turbine-canyon-and-maude-lake-via-maude-lawson-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,42
39,Petain Falls via Lower Elk Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/petain-falls-via-lower-elk-lake-trail?ref=result-card,Elk Lakes Provincial Park,moderate,4.5,29
40,Hidden Lake,https://www.alltrails.com/explore/trail/canada/alberta/hidden-lake?ref=result-card,Peter Lougheed Provincial Park,moderate,4,23
41,Aster Lake Trail through Upper Kananaskis Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/aster-lake-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4,45
42,Mount Tyrwhitt to Mount Pocaterra ,https://www.alltrails.com/explore/trail/canada/alberta/mount-tyrwhitt-to-mount-pocaterra?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,27
43,Great Divide Trail: South Kananaskis Pass Alternate Route,https://www.alltrails.com/explore/trail/canada/alberta/great-divide-trail-south-kananaskis-pass-alternate-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,12
44,Frozen Toad Loop: Winter Route,https://www.alltrails.com/explore/trail/canada/alberta/frozen-toad-loop-winter-route?ref=result-card,Peter Lougheed Provincial Park,easy,4.5,48
45,King Creek Ridge Loop,https://www.alltrails.com/explore/trail/canada/alberta/king-creek-ridge-loop?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,41
46,Arethusa Cirque Shortcut Route ,https://www.alltrails.com/explore/trail/canada/alberta/arethusa-cirque-shortcut-route?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,22
47,Mount Warspite,https://www.alltrails.com/explore/trail/canada/alberta/mount-warspite?ref=result-card,Peter Lougheed Provincial Park,hard,4,18
48,Kananaskis Fire Lookout via Tyrwhitt Trail,https://www.alltrails.com/explore/trail/canada/alberta/kananaskis-fire-lookout--2?ref=result-card,Peter Lougheed Provincial Park,easy,4,33
49,Moraine and Fox Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/moraine-and-fox-creek-trail?ref=result-card,Peter Lougheed Provincial Park,easy,4,27
50,"Whiskey Jack, Tyrwhitt and Lookout Trail",https://www.alltrails.com/explore/trail/canada/alberta/whiskey-jack-tyrwhitt-and-lookout-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4,41
51,Gap Mountain,https://www.alltrails.com/explore/trail/canada/alberta/gap-mountain?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,14
52,Highwood Ridge,https://www.alltrails.com/explore/trail/canada/alberta/highwood-ridge?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,26
53,Elk Pass and Lower Elk Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/elk-pass-and-lower-elk-lake-trail?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,38
54,Pocaterra Ridge Trail to Little Highwood Pass Route,https://www.alltrails.com/explore/trail/canada/alberta/pocaterra-ridge-trail-to-little-highwood-pass-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,11
55,Pocaterra Trail,https://www.alltrails.com/explore/trail/canada/alberta/pocaterra-trail?ref=result-card,"Kananaskis Improvement, Alberta",moderate,4,28
56,Elbow Lake Trail to Sheep River Trail,https://www.alltrails.com/explore/trail/canada/alberta/elbow-lake-trail-to-sheep-river-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,20
57,Tombstone Lakes and Rae Lake Loop via Elbow Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/tombstone-lakes-and-rae-lake-loop-via-elbow-pass-trail?ref=result-card,"Kananaskis Improvement, Alberta",hard,4.5,12
58,Mount Roberta,https://www.alltrails.com/explore/trail/canada/alberta/mount-roberta?ref=result-card,Peter Lougheed Provincial Park,moderate,3.5,17
59,Grizzle Ridge and Highwood Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/grizzle-ridge-and-highwood-ridge-route?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,12
60,Mount Hood Scramble,https://www.alltrails.com/explore/trail/canada/alberta/mount-hood-scramble?ref=result-card,Peter Lougheed Provincial Park,hard,4,11
61,Upper Kananaskis Lake Trail to Upper Kananaskis Falls,https://www.alltrails.com/explore/trail/canada/alberta/upper-kananaskis-lake-to-upper-kananaskis-falls?ref=result-card,"Kananaskis Improvement, Alberta",moderate,4.5,15
62,Banded Peak Trail,https://www.alltrails.com/explore/trail/canada/alberta/banded-peak-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,4
63,Elk Pass Snowshoe Trail,https://www.alltrails.com/explore/trail/canada/alberta/elk-pass-snowshoe-trail?ref=result-card,Peter Lougheed Provincial Park,moderate,4,32
64,Lower Kananaskis Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/lower-kananaskis-lake-trail--2?ref=result-card,Peter Lougheed Provincial Park,moderate,5,12
65,Blackshale Suspension Bridge via High Rockies,https://www.alltrails.com/explore/trail/canada/alberta/blackshale-suspension-bridge-via-high-rockies?ref=result-card,Peter Lougheed Provincial Park,moderate,4.5,22
66,Tombstone Mountain South,https://www.alltrails.com/explore/trail/canada/alberta/tombstone-mountain-south?ref=result-card,Peter Lougheed Provincial Park,hard,4.5,3
67,"Interlakes, Lower and Upper Elk Trail Loop",https://www.alltrails.com/explore/trail/canada/british-columbia/interlakes-lower-and-upper-elk-trail-loop?ref=result-card,Elk Lakes Provincial Park,moderate,4.5,6
68,Whiskey Jack and Pocaterra Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/whiskey-jack-pocaterra-loop?ref=result-card,Peter Lougheed Provincial Park,moderate,4,16
69,Petain Basin Route,https://www.alltrails.com/explore/trail/canada/alberta/petain-basin?ref=result-card,Elk Lakes Provincial Park,hard,5,7
