,Unnamed: 0,Name,URL,Zone,Difficulty,Rating,Reviews,Elevation_gain_m,Traffic,Activities,Attractions,Suitabilities,Backpacking,Birdwatching,Camping,Fishing,Hiking,Horsebackriding,Mountainbiking,Naturetrips,Paddlesports,Roadbiking,Rockclimbing,Running,Skiing,Snowshoeing,Walking,Beach,Cave,Citywalk,Forest,Historicsite,Hotsprings,Lake,Railstrails,River,Views,Waterfall,Wildlife,Dogfriendly,Kidfriendly,Partiallypaved,Paved,Strollerfriendly,Wheelchairfriendly
21,0,Connors Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/connors-lake-trail?ref=result-card,Height of the Rockies Provincial Park,moderate,5,10,2372.87,lightly,"Backpacking, Hiking, Horseback riding","River, Views, Waterfall, Wildlife, Historic site",,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
22,0,Raspberry Ridge Lookout,https://www.alltrails.com/explore/trail/canada/alberta/raspberry-ridge-lookout?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4.5,244,1197.86,NA,"Hiking, Walking",Views,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,1,Mount Burke Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-burke-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4.5,196,749.81,lightly,"Hiking, Nature trips","Forest, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24,2,Hailstone Butte Lookout,https://www.alltrails.com/explore/trail/canada/alberta/hailstone-butte-lookout?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4.5,32,1320.7,lightly,Hiking,"Forest, River, Views, Waterfall, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
25,3,Etherington Baril Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/etherington-baril-ridge-route?ref=result-card,Etherington Creek Provincial Recreation Area,moderate,3.5,23,1144.83,NA,Hiking,"Forest, Views",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,4,Upper Falls Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/upper-falls-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,19,665.99,heavily,"Hiking, Nature trips, Bird watching, Running","Forest, River, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
27,5,Windy Peak Hills,https://www.alltrails.com/explore/trail/canada/alberta/windy-peak-hills?ref=result-card,Willow Creek Public Land Use Zone,hard,4,31,238.96,heavily,"Hiking, Nature trips, Snowshoeing, Walking, Bird watching","Forest, River, Views",Kid friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
28,6,Hell’s Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/hells-ridge-route?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,17,297.79,heavily,"Hiking, Nature trips, Rock climbing, Bird watching","Forest, Views, Waterfall, Wildlife",,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
29,7,Sentinel Peak,https://www.alltrails.com/explore/trail/canada/alberta/hailstone-butte-sentinel-peak?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,5,485.85,heavily,"Hiking, Mountain biking, Nature trips","Cave, Forest, Views, Wildlife",Dog friendly,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
30,8,Sentinel Peak Trail to Iron Mountain Shortcut Loop,https://www.alltrails.com/explore/trail/canada/alberta/sentinel-peak-trail-to-iron-mountain-shortcut-loop?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,3.5,6,765.96,heavily,"Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running","Forest, Views, Wildlife",,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
31,9,Plateau Mountain,https://www.alltrails.com/explore/trail/canada/british-columbia/plateau-mountain?ref=result-card,Plateau Mountain Ecological Reserve,moderate,3.5,7,520.9,heavily,"Hiking, Horseback riding, Mountain biking, Running","Forest, River, Views, Wildlife",,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
32,10,Cataract Creek,https://www.alltrails.com/explore/trail/canada/british-columbia/cataract-creek?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,3,777.85,moderately,"Hiking, Nature trips, Bird watching, Running","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33,11,Mount Hornecker Peak,https://www.alltrails.com/explore/trail/canada/alberta/mount-hornecker-peak?ref=result-card,Mount Livingston Natural Area,moderate,4,5,228.9,heavily,"Hiking, Walking, Bird watching, Running","Forest, Views, Wildlife, Historic site","Kid friendly, Dog friendly",0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
34,12,Pasque Mountain ,https://www.alltrails.com/explore/trail/canada/alberta/pasque-mountain?ref=result-card,"Kananaskis Improvement, Alberta",moderate,4.5,2,472.74,moderately,"Hiking, Horseback riding, Nature trips, Walking, Bird watching","Forest, Views",,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,13,Pasque Mountain Horseshoe,https://www.alltrails.com/explore/trail/canada/alberta/pasque-mountain-horseshoe?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,7,148.74,heavily,"Hiking, Mountain biking, Walking, Running","Forest, Wildlife",Kid friendly,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36,14,Mount Hornecker Loop Trail,https://www.alltrails.com/explore/trail/canada/alberta/mount-hornecker-loop-trail?ref=result-card,Mount Livingston Natural Area,moderate,3,1,267.92,heavily,"Fishing, Hiking, Mountain biking, Nature trips, Skiing, Snowshoeing, Walking, Bird watching, Running","Forest, River, Views, Wildlife",Kid friendly,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
37,0,Bear Pond via Iron Creek Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/bear-pond-ridge-route-via-iron-creek-mountain-trail?ref=result-card,Willow Creek Public Land Use Zone,easy,4,37,415.75,moderately,"Camping, Hiking, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running","Forest, River, Views, Wildlife",,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
38,1,Indian Graves Ridge and Willow Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/indian-graves-ridge?ref=result-card,Indian Graves Provincial Recreation Area,moderate,3.5,17,24.99,heavily,"Nature trips, Walking, Bird watching","River, Views, Waterfall, Wildlife","Wheelchair friendly, Kid friendly, Stroller friendly, Paved",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
39,2,Stimpson Creek,https://www.alltrails.com/explore/trail/canada/alberta/stimpson-creek-out-amp-back--2?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,easy,4,9,306.93,NA,"Camping, Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Wildlife",,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
40,3,Iron Lakes,https://www.alltrails.com/explore/trail/canada/alberta/iron-lakes?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,3,4,360.88,moderately,"Hiking, Mountain biking, Nature trips, Walking, Running","Forest, River, Views, Wildlife",,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
41,4,Johnson Creek Ridge Trail,https://www.alltrails.com/explore/trail/canada/alberta/johnson-creek-ridge-trail?ref=result-card,Willow Creek Public Land Use Zone,moderate,2.5,3,105.77,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Waterfall",Kid friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
42,5,Corral Creek Mountain,https://www.alltrails.com/explore/trail/canada/alberta/corral-creek-mountain?ref=result-card,"Kananaskis Improvement, Alberta",hard,4.5,4,552.91,moderately,"Hiking, Mountain biking","Forest, River, Views, Wildlife",,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
43,6,Willow Creek Hills,https://www.alltrails.com/explore/trail/canada/alberta/willow-creek-hills?ref=result-card,"Kananaskis Improvement, Alberta",moderate,5,1,387.71,lightly,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
44,0,Mist Mountain Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,407,142.95,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",Kid friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
45,1,Mount Lipsett,https://www.alltrails.com/explore/trail/canada/alberta/mount-lipsett?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4.5,460,205.74,lightly,"Camping, Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Wildlife",Kid friendly,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
46,2,Mist Mountain Springs Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-trail--4?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,266,403.86,lightly,"Hiking, Running","Forest, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,3,Running Rain Lake Trail,https://www.alltrails.com/explore/trail/canada/alberta/running-rain-lake-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,moderate,4,30,200.86,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views","Kid friendly, Dog friendly",0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
48,4,Mist Mountain via Mount Lipsett Trail,https://www.alltrails.com/explore/trail/canada/alberta/mist-mountain-via-mount-lipsett-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,3,6,267.92,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
49,5,Eagle Ridge via Mist Mountain Trail & Nameless Ridge Route,https://www.alltrails.com/explore/trail/canada/alberta/eagle-ridge-via-mist-mountain-trail-nameless-ridge-route?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4,2,262.74,moderately,"Hiking, Snowshoeing","Forest, River, Views, Wildlife",Kid friendly,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
50,0,Picklejar Lakes,https://www.alltrails.com/explore/trail/canada/alberta/pickle-jar-lakes?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,1025,643.74,moderately,"Backpacking, Hiking","Forest, Views",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,1,Cat Creek Waterfall,https://www.alltrails.com/explore/trail/canada/alberta/cat-creek-waterfall?ref=result-card,"Kananaskis Improvement, Alberta",easy,4.5,326,514.81,lightly,"Hiking, Mountain biking, Snowshoeing, Walking, Running","Forest, River, Views, Wildlife",,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
52,2,Carnarvon Lake,https://www.alltrails.com/explore/trail/canada/alberta/carnarvon-lake?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,163,485.85,NA,"Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running","Forest, Views, Wildlife",Dog friendly,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
53,3,Mist Ridge,https://www.alltrails.com/explore/trail/canada/alberta/mist-ridge--2?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4.5,65,923.85,moderately,"Backpacking, Hiking, Nature trips, Snowshoeing, Walking, Running","Forest, River, Views, Wildlife",Dog friendly,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
54,4,Fir Creek Point via Grass Pass Trail,https://www.alltrails.com/explore/trail/canada/alberta/fir-creek-point-via-grass-pass-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,moderate,4,64,336.8,moderately,"Hiking, Horseback riding, Nature trips, Walking, Bird watching, Running","Forest, Views, Wildlife",Dog friendly,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
55,5,Junction Hill,https://www.alltrails.com/explore/trail/canada/alberta/junction-hill?ref=result-card,Sheep River Provincial Park,moderate,4,76,258.78,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
56,6,Gunnery Mountain,https://www.alltrails.com/explore/trail/canada/alberta/gunnery-mountain--2?ref=result-card,Sheep River Provincial Park,moderate,4,50,357.84,NA,"Hiking, Mountain biking, Nature trips, Snowshoeing, Walking","Forest, Views",,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,7,Lineham Ridge,https://www.alltrails.com/explore/trail/canada/alberta/lineham-ridge?ref=result-card,Bluerock Wildland Provincial Park,moderate,4,30,514.81,moderately,"Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running","Views, Wildlife",,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,8,Grass Pass and Bull Creek Hills Loop,https://www.alltrails.com/explore/trail/canada/alberta/grass-pass-bull-creek-hills-trail?ref=result-card,Cataract Creek Snow Vehicle Public Land Use Zone,hard,4,47,468.78,lightly,"Hiking, Walking, Running","Forest, Views, Wildlife",Dog friendly,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
59,9,Lineham Ridge via Picklejar Lakes Trail,https://www.alltrails.com/explore/trail/canada/alberta/lineham-ridge-via-picklejar-lakes-trail?ref=result-card,Elbow-Sheep Wildland Provincial Park,hard,4,16,434.95,heavily,"Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running","Forest, River, Views, Wildlife",,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
60,10,Holy Cross Mountain,https://www.alltrails.com/explore/trail/canada/alberta/holy-cross-mountain?ref=result-card,Sheep River Provincial Park,hard,4,16,369.72,lightly,Hiking,"Forest, River, Views",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
61,11,Lower Cataract Creek,https://www.alltrails.com/explore/trail/canada/alberta/lower-cataract-creek?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,22,748.89,lightly,"Backpacking, Camping, Hiking","Forest, Views, Wildlife",,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
62,12,Ride to Highwood Pass,https://www.alltrails.com/explore/trail/canada/alberta/ride-to-highwood-pass?ref=result-card,Sheep River Provincial Park,hard,5,17,358.75,NA,"Hiking, Bird watching","River, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,13,Cat Creek Hills via Kananaskis Trail,https://www.alltrails.com/explore/trail/canada/alberta/cat-creek-hills-via-kananaskis-trail?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,13,1140.87,lightly,Mountain biking,"Forest, Views, Wildlife",Dog friendly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
64,14,Zephyr Creek/Painted Canyon Trail,https://www.alltrails.com/explore/trail/canada/alberta/zephyr-creek-painted-canyon-trail?ref=result-card,Kananaskis Country Public Land Use Zone,moderate,4,24,194.77,lightly,"Hiking, Bird watching, Running","Forest, Views, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65,15,Loomis Creek Trail,https://www.alltrails.com/explore/trail/canada/alberta/loomis-creek-trail?ref=result-card,Sheep River Provincial Park,hard,4.5,8,664.77,moderately,"Hiking, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running","Forest, Views, Wildlife",,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
66,16,Lake of the Horns,https://www.alltrails.com/explore/trail/canada/alberta/lake-of-the-horns--2?ref=result-card,Kananaskis Country Public Land Use Zone,hard,4.5,12,199.95,moderately,"Hiking, Nature trips, Walking, Bird watching","Forest, Views, Wildlife",,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
67,17,The Great Divide Trail: Baril to Robson,https://www.alltrails.com/explore/trail/canada/alberta/the-great-divide-trail-baril-to-robson?ref=result-card,Banff National Park,hard,4.5,3,817.78,moderately,"Hiking, Mountain biking, Nature trips, Walking, Bird watching",Views,,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
