,Name,URL,Zone,Difficulty,Rating,Reviews,Elevation_gain_m,Traffic,Activities,Attractions,Suitabilities,Backpacking,Birdwatching,Camping,Fishing,Hiking,Horsebackriding,Mountainbiking,Naturetrips,Paddlesports,Roadbiking,Rockclimbing,Running,Scenicdriving,Skiing,Snowshoeing,Walking,Beach,Cave,Citywalk,Forest,Historicsite,Hotsprings,Lake,River,Views,Waterfall,Wildlife,Dogfriendly,Kidfriendly,Partiallypaved,Paved,Strollerfriendly,Wheelchairfriendly
58,Sutherland Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/sutherland-falls--2?ref=result-card,Blanket Creek Provincial Park,easy,4.5,6,13.72,NA,"Hiking, Nature trips, Walking","Forest, Views, Waterfall, Wildlife",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
59,Forestry Road to Akolkolex Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/forestry-road-to-akolkolex-falls?ref=result-card,"Revelstoke, British Columbia",moderate,3.0,2,322.78,NA,"Hiking, Walking, Bird watching","Forest, River, Views, Waterfall, Wildlife",,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
60,Kain Hut Trail to Applebee Campground,https://www.alltrails.com/explore/trail/canada/british-columbia/kain-hut-trail-to-applebee-campground?ref=result-card,Bugaboo Provincial Park,hard,5.0,84,990.9,moderately,"Backpacking, Camping, Hiking, Nature trips, Rock climbing","Forest, River, Views",,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
61,Cobalt Lake Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/cobalt-lake-trail--2?ref=result-card,Bugaboo Provincial Park,hard,4.0,5,1215.85,lightly,"Backpacking, Hiking, Nature trips, Bird watching","Forest, Lake, Views, Waterfall, Wildlife",,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
62,Chalice Creek Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/chalice-creek-trail?ref=result-card,Bugaboo Provincial Park,moderate,0.0,0,1247.85,lightly,"Backpacking, Hiking, Running","Forest, River, Views, Waterfall, Wildlife",,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
63,Brisco Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/brisco-falls?ref=result-card,"Radium Hot Springs, British Columbia",easy,4.5,50,24.99,lightly,"Hiking, Nature trips, Walking, Bird watching","Views, Waterfall, Wildlife","Kid friendly, Dog friendly",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
64,Buster Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/buster-lake?ref=result-card,"East Kootenay G, British Columbia",moderate,4.5,13,766.88,moderately,"Backpacking, Hiking, Nature trips, Running","Forest, Lake, River, Views, Wildlife",,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
65,Templeton Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/templeton-lake?ref=result-card,"East Kootenay G, British Columbia",moderate,5.0,12,985.72,moderately,"Hiking, Nature trips, Walking","Forest, Lake, Views, Wildlife",,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
66,McLean Lake,https://www.alltrails.com/explore/trail/canada/british-columbia/mclean-lake?ref=result-card,"East Kootenay G, British Columbia",hard,4.5,6,667.82,moderately,"Backpacking, Hiking, Nature trips, Running","Forest, Lake, River, Waterfall, Wildlife",,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
67,Cartwright Lake Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/cartwright-lake-loop?ref=result-card,Cartwright Lake Recreation Site,easy,2.0,1,83.82,NA,"Hiking, Walking, Bird watching, Running","Forest, Lake, Views, Wildlife",Kid friendly,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
68,Yard Creek Provincial Park Loop,https://www.alltrails.com/explore/trail/canada/british-columbia/yard-creek-provincial-park-loop?ref=result-card,Yard Creek Provincial Park,easy,3.5,11,111.86,lightly,"Hiking, Walking, Running","Forest, River, Views, Wildlife",,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
69,Eagle River Nature Trail,https://www.alltrails.com/explore/trail/canada/british-columbia/eagle-river-nature-trail?ref=result-card,Yard Creek Provincial Park,easy,3.5,13,54.86,lightly,"Hiking, Nature trips, Walking, Bird watching","Forest, River, Views, Wildlife",Kid friendly,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
70,Kay Falls,https://www.alltrails.com/explore/trail/canada/british-columbia/kay-falls--2?ref=result-card,"Columbia-Shuswap Regional, British Columbia",easy,5.0,5,28.96,lightly,"Hiking, Nature trips, Walking","Forest, Views, Waterfall, Wildlife",Kid friendly,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
